SAF Name	Length (x)	Width (z)	Height (y)	Center (x)	Center (z)	Center (y)	Safe Zone Length (x)	Safe Zone Width (z)	Safe Zone Height (y)	Safe Zone Center (x)	Safe Zone Center (z)	Safe Zone Center (y)
B 04---Archit	497	1464	828	31	0	414	497	1464	828	31	0	414
B 13---Archit	750	750	1004	0	0	502	750	750	1004	0	0	502
B22.1  Besedka--00	1919	2332	2734	0	0	1367	1919	2332	2734	0	0	1367
C002.2  Trenaj Lesenki   	3663	3389	2975	-15	-425	1487	8630	8356	2975	-15	-425	1487
C003.2  Trenaj Lesenki   	2037	2467	2309	-80	-14	1027	6116	6547	2309	-80	-14	1027
C004.1  Lsenki Plamya   	5556	6573	4350	624	285	2132	12356	13373	4350	624	285	2132
D08 Pesochn  --00	1826	1816	354	-9	-2	177	1826	1816	354	-9	-2	177
IG01.16-Gorka Vosmiug-0	5643	6477	4676	328	458	2308	12879	13712	4676	328	458	2308
IK01.10 Gorka Krasno-Jelt	2133	4790	2202	-528	430	1051	6069	8726	2202	-528	430	1051
IK05- Gorka 3k Basket	8026	9277	4737	-120	4	2050	15342	16594	4737	-120	4	2050
K2.2  Kach Skam    --  	1477	2716	2202	-62	-3	1101	8223	2716	2202	-62	-3	1101
K2.6  Kach Krugl   Kozrk --  	1476	2734	2200	0	-2	1100	8217	2734	2200	0	-2	1100
K06 Karuselka   -	860	860	682	-49	-8	341	5720	5719	1341	-49	-8	1341
K06.5  karus kreslai  	1003	1003	819	-2	1	409	6007	6007	1409	-2	1	1409
K07 prost kach balansir   	530	3121	868	0	-1	434	2530	5121	868	0	-1	434
